model,with_features,nc_test_size,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,accuracy
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,-1.0,2.0,67.15674405053174
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,-1.0,3.0,48.71357918913877
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,-1.0,6.0,25.24907441997029
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,-1.0,10.0,15.195152612739786
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,1.0,2.0,65.27352156268117
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,1.0,3.0,53.19261255285189
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,1.0,6.0,41.47711693056735
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,1.0,10.0,34.532706157423185
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,5.0,2.0,84.76377800834948
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,5.0,3.0,83.27322157255306
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,5.0,6.0,80.47575087501608
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,5.0,10.0,75.14104688421811
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,10.0,2.0,90.84732981795999
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,10.0,3.0,90.16409457831026
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,10.0,6.0,85.42986076930609
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,2.1,30.0,3.5,2000.0,3.0,0.0,10.0,10.0,82.05376297218722
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,-1.0,2.0,65.64081404200554
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,-1.0,3.0,46.44069541849057
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,-1.0,6.0,25.264477205634037
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,-1.0,10.0,14.802136981204217
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,1.0,2.0,61.57851818950055
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,1.0,3.0,55.777011681275326
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,1.0,6.0,39.22601944529116
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,1.0,10.0,31.815733340362527
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,5.0,2.0,80.05122690631119
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,5.0,3.0,81.52144207646886
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,5.0,6.0,70.08503387631923
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,5.0,10.0,69.47219914261773
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,10.0,2.0,84.87458103693794
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,10.0,3.0,83.56449100801423
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,10.0,6.0,80.31200389584235
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,1.1,0.0,10.0,10.0,73.11676172638496
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,-1.0,2.0,68.42619979318495
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,-1.0,3.0,47.72511369941815
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,-1.0,6.0,25.574167659304518
GAT_Euclidean,1.0,0.7,1.1,2.1,5000.0,3.0,3.5,3.0,2.1,2000.0,3.0,0.0,-1.0,10.0,14.882084948696468
