model,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,with_features,nc_test_size,i,accuracy
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,5,3,1,0.7,4.5,80.64
SGFormer,1.1,2.1,5000,3,3.5,3,2.1,2000,3,0.0,5,6,1,0.7,4.5,78.852
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,-1,10,1,0.7,4.5,15.072
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,-1,2,1,0.7,4.5,66.312
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,-1,3,1,0.7,4.5,48.54
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,-1,6,1,0.7,4.5,25.091
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,1,10,1,0.7,4.5,34.57
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,1,2,1,0.7,4.5,64.55499999999999
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,1,3,1,0.7,4.5,55.699
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,1,6,1,0.7,4.5,42.524
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,10,10,1,0.7,4.5,83.421
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,10,2,1,0.7,4.5,91.958
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,10,3,1,0.7,4.5,89.965
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,10,6,1,0.7,4.5,84.78999999999999
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,5,10,1,0.7,4.5,74.553
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,5,2,1,0.7,4.5,87.80499999999999
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,5,3,1,0.7,4.5,82.92699999999999
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,1.1,0.0,5,6,1,0.7,4.5,76.99
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,-1,10,1,0.7,4.5,15.655000000000001
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,-1,2,1,0.7,4.5,67.853
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,-1,3,1,0.7,4.5,48.068
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,-1,6,1,0.7,4.5,26.293
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,1,10,1,0.7,4.5,35.316
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,1,2,1,0.7,4.5,66.947
SGFormer,1.1,2.1,5000,3,3.5,3,3.5,2000,3,0.0,1,3,1,0.7,4.5,55.495000000000005
